video_id,comment
Tdj4cbV6T3w,"""Share of gdp is lower for manufacturing than it was in 2013-14"" that doesn't mean manufacturing didn't grow well. It's obvious to everybody it did in absolute terms. The service sector just grew much faster. The economy more than doubled in a decade, so manufacturing also doubled to stay the same %. 
Same thing when you talk about population percentage in manufacturing. India's working population has grown a lot in 10 years, it doesn't mean there aren't more people working in manufacturing today - there are, just that more people are working in other sectors - particularly because the major increase in working population came from agriculture-intense rural population due to higher birth rates. Same issue when you compare India's share in global exports, it depends too much on what happened in other countries. There are too many confounding factors in the data points you're cherrypicking. This is a strange and misleading lens to look at the state of the manufacturing sector in India today. If you were being accurate, you would have atleast shown the absolute numbers at some point which you chose not to."
Tdj4cbV6T3w,He looks like a more serious Rohan Joshi XD
Tdj4cbV6T3w,"😂😂
I hope you don't think that we're childrens!?

Come on seriously!"
Tdj4cbV6T3w,"India's service sector is literally too much overpowered for now. Like TCS is the global exporter of services while a US firm, wipro, infosys trail... Like come on"
Tdj4cbV6T3w,producing cow dung is quite enough for india
Tdj4cbV6T3w,"Not really where it was - but rather the same proportion of where it was. The GDP has doubled, which means manufacturing has doubled, and so have services and agriculture."
Tdj4cbV6T3w,"The best way to describe India, which I heard from a Chinese scholar in a TV program, is that India is one big pile of mud.  It is a very stable pile of mud.  It just needs to be ""managed"" so it does not turn the rest of the world an even bigger pile of mud.  That is the best outcome you can have about India."
Tdj4cbV6T3w,ok boss
Tdj4cbV6T3w,There is no make in India only assembling in India India is the world's LEGO hub.
Tdj4cbV6T3w,India has an ego too big for its skull.
Tdj4cbV6T3w,This is irrelevant. Just keeping pace with the economy shows that manufacturing isn't lagging. It doesn't mean the scheme failed. India tripled it's economy and so did manufacturing over this period. 300% growth over 10 years isn't a failure.
Tdj4cbV6T3w,Whatever manufacturing there was has been destroyed by this govt
Tdj4cbV6T3w,A total failure. India is just an assembly hub. A giant LEGO enterprise
Tdj4cbV6T3w,"Such a generic graph based analysis was not expected. I was hoping to get some information regarding the import substitutions that may or may not have taken place, products that we have to able to export which we were not able to do so earlier etc."
Tdj4cbV6T3w,India was never a leader just yes man to western white people
Tdj4cbV6T3w,"HAHAHAHH india is useless, may india never progress past the 3rd/4th world. they don't deserve it."
Tdj4cbV6T3w,india has the highest scammer to gdp ratio.
Tdj4cbV6T3w,India is Superpower in Telling Stories and doing Good debate. China is Superpower in Innovation and Development.
Tdj4cbV6T3w,Except tamil nadu not a single state did well in manufacturing
Tdj4cbV6T3w,"No wonder  ur analysis, given Shekhar Gupta's pencant fir Congress..I think we should give up on watching this biased channel!"
Tdj4cbV6T3w,"Bad headline and even worse analysis. The delta between 17 and 18 is not significant. It could be just cycles. If it had fallen from 22 to 17, yes India should be worried. India is going through a realignment of resources. And COVID hit manufacturing and infrastructure jobs the most. The rate should come back up. The real issue India faces is decreased consumption in the west due to aging and other factors. Exports cannot grow at the required pace anymore. India needs to figure out what new sectors will get it to 10%+ real growth overall on an average. India has missed the low cost export manufacturing bus and it cannot prosper from this segment. There is heavy competition now which China did not have when it rapidly grew between 2000 and 2010."
Tdj4cbV6T3w,"You can't increase your manufacturing by huge margin if your manufacturing industry mostly rely on Foreign investment. Your Smartphone production is increasing bcus foreign brands willingly use india as their manufacturing base. So I advise to maintain that stop being too hostile towards Chinese brands bcus they contribute more than apple and Samsung into the production output. If india becoming too hostile towards Chinese brands you aren't going to see production increase in other technology hardware like laptop, tablet, TVs, Monitor screen etc."
Tdj4cbV6T3w,"I think India businesses need land at discounted rates as long as wages are decent, no 
environmental problems. Take very little land cost in farflung areas. Support also with labour and tech wherever needed."
Tdj4cbV6T3w,"I think the privilege and potential population (  finance wise ) are venturing into business and entrepreneurship. So India will continue to see improvement . India has seen changes in space and defence already . Stock market is booming , students as young as 15-16 year old are trading and learning stock market .The educated people who own shares of farms and land find direction to run sales business or  production etc . But it will take alot i mean alot to become a superpower . Indian media and politicans are delusional."
Tdj4cbV6T3w,India should build toilet first before thinking about Make in India
Tdj4cbV6T3w,Endia cant run a country 😂😂😂.. Africa will rise before endia
Tdj4cbV6T3w,"Enhance defence research and development homegrown industry production 
Figher jet engines 
Semiconductor industry 
Naval industry and engines
Indigenous arms and military vehicles,  equipments and AI based industry. 
Self reliant space technology 
Heavy industries 
Electronics
Robots and Drones, UAVs, 
Homegrown software and internet technology 
Search engines
Social media 
Operating System
All need to build and develop in India solely."
Tdj4cbV6T3w,"The manufacturing push in India is just not working. Corruption and red tape are big hurdles. Tax and labour reforms are required.
Countries like Vietnam are way ahead of India."
Tdj4cbV6T3w,"After Swatch bharat, India still remains the dirtiest country"
Tdj4cbV6T3w,"I am predicting that 20 years later, this same guy will post a video to discuss 20 years later, why Make In India is still not working.  But But But, he will also say that in absolute terms, the Indian manufacturing is growing.  What he won't say is that the so-called manufacturing growth is just rising on the rise of the technological and social progress of humanity in the world.  

In another word, India will have a better life, in general, not because India itself but because humanity has been progressing.  This is actually the key objective of keep talking about Make In India, or GDP Growth or whatever.  Given time, progress will show.  But keep talking about it will prevent any potential social unrest, revolution or even break up of this new India nation.  Now you know the inside story of why India is so interested in TALKING BIG.  It is buying time.  Time will solve everything."
Tdj4cbV6T3w,"Chinese here.  Without labor reform, land reform and frankly speaking, social reform that China has gone through, there is NO WAY that India could achieve what China did.  It is NOT ABOUT the lacking of FDI.  It about that there is NO FERFILE SOIL for any FDI in India for manufacturing.  Any foreign investors will be SWALLOWED by local governments and local enterprises (which are controlled by the same people who controlled the local governments) through labor laws, land laws, water, electricity and worse of all, the retroactive tax laws.  

India, to use farming as example, is salted soil.  Nothing foreign will grow there.  Only the local plants could grow there.  Any foreign plants will be slaughtered by the locals in just several years for the fruits and dump the plants to rot.  It is the SOIL!  It is the LOCAL PRACTICE.  Without a revolution, without a massive social reform, NOTHING WILL CHANGE."
Tdj4cbV6T3w,We are the place where gods are given birth to. All the godd in the world comes from us. Today we can also give birth to other gods.
Tdj4cbV6T3w,Why most of new  billionaires in India are coming from Manufacturing sector
Tdj4cbV6T3w,hardly
Tdj4cbV6T3w,"Make In India' logo designed by foreign firm, says RTI 😂

Make in India fails to lift manufacturing share in GDP in 10 yrs
The share of value addition by manufacturing sector is 15.9% in 2023-24 compared to 16.7% of GDP (in constant price) in 2013-14."
Tdj4cbV6T3w,"Instead of showing  growth in absolute terms, you are showing growth per GDP 
Since india is world's fastest growing GDP it denominator is high so a 6% or 7% growth in production, if taken as a percentage of GDP(which grew 7-8%), will show a lower percentage 
This will give an impression  that there's a shrinkage of production. 
This not a correct way of analyzing"
Tdj4cbV6T3w,"Excellent compilation. Request you to keep the duration of your videos less than 7 minutes. Request  from a soul who does not watch any TV news for 10+ years. Thank you,"
